Unnamed: 0,follower,visited
0,ever.marques,Private
1,moneizidoro,True
2,guilherme.baruffiw,Private
3,biasalabai,Private
4,uejxma,True
5,doforllove,True
6,miriamdosantos_mdsan,True
7,formandosbrasil,True
8,renatogabrieln,Private
9,beametzger,Private
10,li4portella,True
11,marcel_ayoub,Private
12,luh_skau,Private
13,tatianatonet,Private
14,jb_jhonyy,Private
15,carol_van83,True
16,rpcs2025,True
17,luana_fanckin,True
18,jason._.moraes,True
19,viniezatta,True
20,marcello_jorge67,Private
21,cwblive_,True
22,flavia.fk,Private
23,le_ticia_cwb,True
24,nicolas_kormann,True
25,barbara.nicole.984,True
26,cuillo07,Private
27,marliribeiro.oliveira,True
28,samaranselmo,Invalid
29,mim_nogueirap,True
30,jean.mac_,True
31,el_luskita,Private
32,mariaribeir_27,Private
33,leandropolezi,Private
34,luanzitotesche,True
35,felipeth7,True
36,corbeliniyasmyn,Private
37,fabiolacruzz,Private
38,dayane_reis03,Invalid
39,paulanishizima,True
40,lucimeire_ortiz,Private
41,zandaroth,Private
42,cavimorta,True
43,patriciapavloski_,Private
44,rubia_gschmidt,True
45,lorena_vitoria_cordeiro_,True
46,eduardaleal13,Private
47,anapionkevicz,Private
48,gisele_veiga,Private
49,camilasouzacfs,Private
50,rosemaribelini,Private
51,ana_cristina.hindersmann,Invalid
52,emismartins,Private
53,stavdri,True
54,umatch.utfpr_,Private
55,zarpe.lonn,True
56,elisangelaaparecida.a,Invalid
57,marcia_cajeu,Private
58,natalia_atreska,True
59,guistelle,Private
60,alexsandra.gre,True
61,d3secra7ion,True
62,patriciadvorak,Private
63,gisele_apoliveira,Private
64,neuzabelik,Invalid
65,tchesleysg,Private
66,brunaarantes85,Private
67,seemcondicoes,True
68,alano.gb,True
69,danvieira_b,Invalid
70,beatrizmarmentini,Invalid
71,jaylton_bonacina,Private
72,luciana_olivertt,Private
73,angelowbc,Private
74,kellycristina0724,Private
75,math.eusoliveira1526,True
76,sanderjoner,Private
77,lum000r,Private
78,anapazda,True
79,higorlourenco._,Private
80,deboraceciliotti,Private
81,moll.png,True
82,vine.ssantos,True
83,adv.laurarozados,True
84,brunnabara,Private
85,phenriquexx,Private
86,antonia.souza_,Private
87,luizadecg,True
88,feliporolim,True
89,afra_hub,True
90,ceebja_laismiquelotto,True
91,kellysampaio230,Private
92,iae_camargoo,Private
93,marigrohs,True
94,chasdrubalbellegard,True
95,vanessabighi22,Invalid
96,mari_nao_oficial,True
97,alinemonteirodcs,Private
98,docomum,Invalid
99,hoidebora,Private
100,karolsillvaaa_,Private
101,rlsletechechen,Invalid
102,s2milala,Private
103,julia_strobel,Private
104,wasrolbs,Private
105,joao_rhs,Private
106,futuro.docente,True
107,xzxlivia,Private
108,raftake,Private
109,garciahectar,Private
110,deborahdeah,Private
111,edsongabrielj,Private
112,ramonpsarchi,Private
113,pstrapasson,Private
114,luizfernando_045,Invalid
115,carmenarraizimoveis,True
116,pacheco.demian,True
117,arthurzimermann,True
118,matheus.gouz,Private
119,nick_passarinho,True
120,vergileiro,True
121,sa.salmoria,Private
122,dudda.sillva_,Private
123,alana_a.vitt,Invalid
124,aline_gon,Private
125,dziombraisabella,Private
126,blackquadros,True
127,camile.ncorreia,True
128,guilherme__kh,Private
129,rptoledomatematica,True
130,kais_al_helou,True
131,hilbeth.azikri,True
132,felip_01veiga,True
133,alexdasilvadoss,Private
134,atena94800,True
135,amandam_fig,True
136,fescandelari,Private
137,leguizamonalf,Private
138,est_frank,Private
139,nay_ri7,Private
140,projeto_solomaia,True
141,analuiza_daluz,True
142,n10unes,Invalid
143,filipenestefani,True
144,camys_santiago,True
145,vitordmen,Private
146,gabi_procopio_,True
147,motta_nick_,Private
148,leonardo_fisioterapia,True
149,karines.rosa,True
150,gxcsk,True
151,disswj_,True
152,ana_munaretto,Private
153,denisecamps,Private
154,theomewhy,Deleted
155,ricardo_liriun,Deleted
156,kaka__macedo,True
157,hpavelar,True
158,oaikoinu,True
159,is_zabel,Private
160,naudicosta,Private
161,silviafraizs,Private
162,teixeiraiaraconceicao,True
163,wallacebottacin,True
164,itskauanne,Private
165,engenheiro_beck,Private
166,caixetista,Invalid
167,eliane.bonifacio.14,Private
168,gbi_rocha,Private
169,gabfrnd,Private
170,elisangela.pini,Private
171,estigarribiacristhian,Invalid
172,leticia_kq,Private
173,danielgaluchjr,True
174,adriele_da_silva_rosa,Private
175,belenverab,Private
176,maju.xh,True
177,ge.rodriguesss,True
178,rodriguez_david7,Private
179,claudiolosantos,Private
180,mari_naa2402,Private
181,willy_g.s,True
182,euryanmar,True
183,__bibibia,True
184,aj_nkamura,True
185,ruiz_barby,Private
186,nacimento1987,True
187,leonardo_alberti07,True
188,euwilliamalves,Private
189,feelpinz_,Private
190,daniellyfernandas2,Invalid
191,moisi_jg,Private
192,cirilo_dadalto,Private
193,labiotec.utfpr,True
194,paulohheny_,Deleted
195,giselineuropsico,True
196,duhh_eskelsen,True
197,david_pazribeiro,True
198,sofiabubna,True
199,lariii.bueno,Private
200,lucas.koppe,Private
201,anna.bcruz,Private
202,_carlafernandaa_,Private
203,nath__rezende,True
204,myzinha_22,Private
205,555moraes,Private
206,cwb_dudu10z,Invalid
207,jheny_kassia,True
208,cris_taborda4,True
209,gonzalezmandy,Invalid
210,9randa_,True
211,sarauquimera,True
212,sabriiinabiina,Private
213,vaneramirez91,Private
214,cristianespilmannlaurindo,Private
215,drikoola,Private
216,carlota_karolina,Private
217,leonardo.franca__,Private
218,adirknoll,True
219,neto_jonass,True
220,angela_guimaraes_of,Private
221,camilarogiski,True
222,cavok_engenharia,True
223,busybbu,Deleted
224,r.aiers,True
225,jonaslazzaretti,Private
226,_2vicenzz5,Private
227,tacianaboing,True
228,diddl_dixx,Private
229,taniadarc,Invalid
230,eduardo_alcantara___,Private
231,isabele_fernanda,Private
232,dptodequimicafacen,True
233,giselesilvamaestrelli,Private
234,rafaelarazzini,Private
235,claramoreno,Private
236,andrew_knolland,Private
237,clozafatoski,Invalid
238,sr_marcondes,Private
239,luizeduardominioli,Private
240,yellow.3.to.3_,True
241,momentos.daerika,True
242,brightsandra84,True
243,pedro_ggab,True
244,gabtroiano,Private
245,majubrenha,True
246,prof.pauloamaro,True
247,aliciamariazm,Private
248,samuelvaiproceu,True
249,danteotavares,Private
250,valemeldy2002,True
251,carolsamudio,Private
252,odanielcristaldo,True
253,letiziagrau,Private
254,humanrobotics.ai,True
255,paulabertozzi_,True
256,felipe.casten,True
257,leandroc.guimaraes,True
258,siq_joao,True
259,giljunior810,Private
260,doris.menna.75,True
261,gabriellaschram,True
262,focoufpr,True
263,matheuszyes,True
264,_zanevitor,Deleted
265,natsraew,True
266,henrique.duarte2,Private
267,altzinho,Private
268,jcviera_,Private
269,juventudepv_pr,True
270,gabi_lidia,Private
271,kauan__lzt,True
272,lelediaaz,True
273,rebeca.cze,Private
274,muliro02,Private
275,lu_cloque_scraplove,True
276,_zgabss_,True
277,tainara_bio,True
278,gabrieletonet,True
279,fernandineo,Private
280,clara__.ms,Private
281,nataliamouhra,Private
282,santos_luism,True
283,erikamatsugano,Private
284,kailaine_and,Private
285,garanhan1,True
286,bipede_,True
287,tailaehugo,True
288,thaifloriano,Private
289,jociquele_,Private
290,nobr_ug,Private
291,danivecki,Private
292,scheila_gonzalez,True
293,wtf_getormes,Private
294,duda_decastro,Invalid
295,vjuni_o,Private
296,kahue_bandeira,Private
297,isabellalfcosta,True
298,lucasanihc,Private
299,nutrikaohanemonique,True
300,rosanetemp,True
301,yuan_caue854,True
302,liviamloo,True
303,mati_acv21,Private
304,acostaalfredoandres,Private
305,rafaeluellrosa,Private
306,digonomundo,True
307,sebkahl,Private
308,giinogera,True
309,andezuri,Private
310,mailannealves,Private
311,silvananakamoribelotto,True
312,labmultilabreo_utfprct,True
313,a_yevena,Private
314,amplicitalicitacoes,Invalid
315,alana_gerlach_oficial,Private
316,jothajhons,Private
317,ma_leopoldo,Private
318,deoliveijuh,Private
319,jucagrossi,Invalid
320,piupiuyoudied,Private
321,marcelamonteiro_arq,Private
322,ronaldooliveira4724,Private
323,utfpr.umatchbr,Private
324,instadobarauna,True
325,taiza.r,Private
326,dudu__xtrem7,Invalid
327,yk.mafer,True
328,luiscalderari,Private
329,nati_mari4,True
330,malisarte,True
331,zeh_zinho,Private
332,rodacostta,Private
333,larac_schmidt,Private
334,augusto_santi,Private
335,leandro_dfc,Private
336,he3nrique_0,Private
337,ioaraujo,Private
338,leofelipe_p,True
339,matheuss.costa,Private
340,eduardo_loewenthal,True
341,karinamws,Private
342,felipe_dorocinski,True
343,ph.pecus,True
344,fortesdina,True
345,sabrinacamposbjj,True
346,kimi__yc,True
347,prof.marcelo.ferreira,True
348,_dgpp3,True
349,julioofidel,Private
350,luscadeliverychopp,True
351,kenjikauan,Private
352,rxmi.araujo,Private
353,bh_uliana,True
354,vik_nii,Private
355,bddandre_,Private
356,ravena13c,Private
357,edusobottka,Private
358,dani.gttn,Private
359,sararuanacordeiro,True
360,izamenezes.18,Invalid
361,_lu_daqui,Private
362,lufeol33,Private
363,clara_lucenam,Private
364,marcos.a.c.mesquita,Invalid
365,davi.lt,Invalid
366,sehnvitoria,True
367,p_maroueli,Private
368,leaffar3423,True
369,focostoregeral,True
370,ricardo___montenegro,Invalid
371,profdriele,True
372,yuri.karan,Invalid
373,giuu.ct,Private
374,andre_mme,Private
375,isobel_lourdeslima,Private
376,lcgnclvs,Private
377,ge0vaneferreira,True
378,lerodrigues_cwb,True
379,dnizr123,True
380,gustavo_azzolini,True
381,gabrielbond_7,True
382,luiza_strapasson,True
383,rebeca_retali,Private
384,thiery_cordeiro_,True
385,biancamouradoprado,Private
386,nathtaliia,Private
387,giu_lsouza,True
388,darlan.akaedward,True
389,_martinhak_luana,True
390,rafaelcansianinkor,Invalid
391,tuticko,Private
392,vinicius__perrone,Private
393,vanamarks,True
394,amcjunior,Private
395,laila_cecilia,Private
396,soljarosiski,Private
397,adrianachiaveli,Invalid
398,celinytessari,Invalid
399,coliq.utfpr.ap,True
400,efkosak,True
401,antunes574,True
402,renansalvadorde,Private
403,prof.aguinaldo.pereira78,Invalid
404,ketelynn_layane,True
405,melchinoli,Private
406,arthurmilicio,Invalid
407,amanda_mildemberger,Private
408,joaocesso,Private
409,soniamaugustinho,True
410,lari__.2k23,Invalid
411,daianeiegerbarbosa,Private
412,paty__caroline,Private
413,caroline_0rtiz,True
414,bodegavinhos,True
415,gsguimaraes31,Private
416,euray.anaa,Private
417,laisrenatax,Private
418,francielle_hairr,Invalid
419,fernandojustinor,True
420,fala_amizadesss,Private
421,tiago_azanha_,True
422,rifawgs.online,True
423,marcosp.santos3,True
424,viviane_vmartins,Private
425,ynaffihty,True
426,tomesabrina95,Private
427,g._silveira,True
428,wtlisboa,True
429,rosanecorso,Private
430,lizhelenaraposo,Private
431,dnelmorais,Private
432,alisson.silva3331,Private
433,insta.thami,Private
434,thiagoluisdias,True
435,visaodelua,True
436,vii_oliveir2611,Private
437,mayu_lari,Private
438,rafah_deolinha,Invalid
439,carlos.hara.5,True
440,dricahsu,Private
441,marynayukie,True
442,eutavitos_,Private
443,anaclarapanicio,Private
444,flavinhoperelles,Private
445,tatyschultz,True
446,arte.no.tear,True
447,mayara_wolf,Private
448,vieira0104,True
449,giovannabaggio,Private
450,faladetudo40,Private
451,gustavo.cruz19,True
452,aline.hultemann.arts,True
453,gi.cantora,True
454,valentina.sovinski,Private
455,saphirashuzin,Private
456,sa_cordeiro003,Private
457,lislaine_carneiro,True
458,fabiorcaetano,Private
459,dayse_zacharias,Private
460,nizerjv,True
461,eduardoleprevost97,Invalid
462,perondi_tiago,Private
463,rcassia_pontes,Private
464,erick.stp,True
465,funaki_eidi,True
466,giovananunesz,True
467,gabi.s_art,True
468,caixotesujo,Private
469,edmarabernardo_,True
470,d.hack6,Private
471,gabilimaa_a,True
472,vitcecim,True
473,rebecca_ossovski,Private
474,josiele.rios.7,Private
475,gabrielaa_grigoleetti,Private
476,caroll.arce,Private
477,paulo_bettio,Invalid
478,20_kaih,Private
479,mouraeduardo,Invalid
480,quemassamassa,Invalid
481,gtoledods,Private
482,sheylla___ramos,Private
483,ludd_milla,Private
484,_bgsm4t,True
485,euasininho,True
486,almirroger4_,Private
487,_vini_andre_,Invalid
488,ju_nikolofski,Private
489,matteopaparella._,True
490,eliaspenteado,True
491,bruno.skttt,True
492,anaclarafreitas__,True
493,sindiaballen,Private
494,nicolly_s,Private
495,lapocagroup,True
496,anita_valente05,True
497,gaabrielfraga,Private
498,mi.ra.gem,Invalid
499,manustanula,Private
500,esmael_pinto,True
501,nicolly.pilato,Private
502,noeliosinski,Private
