antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'1234bailefunk'},{'avalancheutfpr'},0.017200938232994525,0.1892103205629398,0.013291634089132134,0.7727272727272728,4.0839594290007515,0.010037039052083913,3.567474589523066,0.7683560297627404
{'avalancheutfpr'},{'1234bailefunk'},0.1892103205629398,0.017200938232994525,0.013291634089132134,0.07024793388429752,4.0839594290007515,0.010037039052083913,1.0570549908782902,0.9313630949004482
{'41bklyn'},{'avalancheutfpr'},0.033620015637216574,0.1892103205629398,0.014855355746677092,0.44186046511627913,2.335287334230252,0.008494101810628296,1.452664842324733,0.5916794413217511
{'avalancheutfpr'},{'41bklyn'},0.1892103205629398,0.033620015637216574,0.014855355746677092,0.07851239669421488,2.335287334230252,0.008494101810628296,1.0487172924475048,0.705222554940872
{'avalancheutfpr'},{'433'},0.1892103205629398,0.026583268178264268,0.010164190774042221,0.05371900826446281,2.0207826932425865,0.005134362080422243,1.028676196946987,0.6230249981455382
{'433'},{'avalancheutfpr'},0.026583268178264268,0.1892103205629398,0.010164190774042221,0.3823529411764706,2.0207826932425865,0.005134362080422243,1.3127071000409545,0.5189372876119865
{'avalancheutfpr'},{'9gag'},0.1892103205629398,0.03752931978107897,0.012509773260359656,0.06611570247933884,1.7617079889807161,0.005408838634072626,1.0306101974025614,0.5332690453230472
{'9gag'},{'avalancheutfpr'},0.03752931978107897,0.1892103205629398,0.012509773260359656,0.3333333333333333,1.7617079889807161,0.005408838634072626,1.21618451915559,0.4492282696994313
{'avalancheutfpr'},{'_lisboa.lais'},0.1892103205629398,0.011727912431587178,0.0109460516028147,0.05785123966942149,4.932782369146006,0.008727009532100002,1.0489554613664733,0.983331037332966
{'_lisboa.lais'},{'avalancheutfpr'},0.011727912431587178,0.1892103205629398,0.0109460516028147,0.9333333333333333,4.932782369146006,0.008727009532100002,12.161845191555905,0.8067359855334538
{'_pequenalo'},{'avalancheutfpr'},0.044566067240031274,0.1892103205629398,0.010164190774042221,0.2280701754385965,1.205379150355227,0.0017318309053263748,1.0503411756343735,0.17833312350497307
{'avalancheutfpr'},{'_pequenalo'},0.1892103205629398,0.044566067240031274,0.010164190774042221,0.05371900826446281,1.205379150355227,0.0017318309053263748,1.009672540296561,0.21014761516208014
{'avalancheutfpr'},{'_tipsy_sailor_'},0.1892103205629398,0.019546520719311962,0.0109460516028147,0.05785123966942149,2.9596694214876034,0.007247648151623539,1.040656763096169,0.816641410662626
{'_tipsy_sailor_'},{'avalancheutfpr'},0.019546520719311962,0.1892103205629398,0.0109460516028147,0.56,2.959669421487604,0.007247648151623539,1.8427038169024097,0.6753246753246753
{'avalancheutfpr'},{'_trga'},0.1892103205629398,0.024237685691946835,0.017200938232994525,0.0909090909090909,3.7507331378299114,0.012614917953517485,1.0733385457388585,0.9045323047251688
{'_trga'},{'avalancheutfpr'},0.024237685691946835,0.1892103205629398,0.017200938232994525,0.7096774193548386,3.750733137829912,0.012614917953517485,2.792720006949873,0.7516025641025641
{'avalancheutfpr'},{'_wanessaestevam'},0.1892103205629398,0.017200938232994525,0.014073494917904612,0.0743801652892562,4.324192336589031,0.010818899880856391,1.0617739863732827,0.9481410050358942
{'_wanessaestevam'},{'avalancheutfpr'},0.017200938232994525,0.1892103205629398,0.014073494917904612,0.8181818181818182,4.324192336589031,0.010818899880856391,4.459343236903832,0.782197471934942
{'avalancheutfpr'},{'a.romanzini'},0.1892103205629398,0.013291634089132134,0.010164190774042221,0.05371900826446281,4.041565386485173,0.007649276427232232,1.042722377949476,0.9281952377420074
{'a.romanzini'},{'avalancheutfpr'},0.013291634089132134,0.1892103205629398,0.010164190774042221,0.7647058823529412,4.041565386485173,0.007649276427232232,3.4458561376075063,0.7627087650859442
{'avalancheutfpr'},{'aaaeapucpr'},0.1892103205629398,0.04769351055512119,0.028928850664581705,0.15289256198347106,3.2057309307681887,0.019904746243675272,1.1241861972959057,0.8486277984831505
{'aaaeapucpr'},{'avalancheutfpr'},0.04769351055512119,0.1892103205629398,0.028928850664581705,0.6065573770491803,3.2057309307681887,0.019904746243675272,2.060757101902528,0.72251808458705
{'abrunalouise'},{'avalancheutfpr'},0.04143862392494136,0.1892103205629398,0.013291634089132134,0.32075471698113206,1.695228442226727,0.005451018772606873,1.1936625836156718,0.42783801938393623
{'avalancheutfpr'},{'abrunalouise'},0.1892103205629398,0.04143862392494136,0.013291634089132134,0.07024793388429752,1.695228442226727,0.005451018772606873,1.0309860133785076,0.5058142832832265
{'acervejadadesign'},{'avalancheutfpr'},0.01563721657544957,0.1892103205629398,0.010164190774042221,0.65,3.435330578512397,0.007205468013089292,2.3165419412487434,0.7201686320034215
{'avalancheutfpr'},{'acervejadadesign'},0.1892103205629398,0.01563721657544957,0.010164190774042221,0.05371900826446281,3.435330578512397,0.007205468013089292,1.0402436401255075,0.8743416660485127
{'avalancheutfpr'},{'adele'},0.1892103205629398,0.05394839718530102,0.011727912431587178,0.06198347107438017,1.1489399928135107,0.0015203189062995733,1.0085660259081815,0.15988428158148507
{'adele'},{'avalancheutfpr'},0.05394839718530102,0.1892103205629398,0.011727912431587178,0.21739130434782608,1.1489399928135107,0.0015203189062995733,1.0360090348362434,0.13702479338842974
{'adidasbrasil'},{'avalancheutfpr'},0.03205629397967162,0.1892103205629398,0.013291634089132134,0.41463414634146334,2.191392864341866,0.00722625242917863,1.3850990357049775,0.561674427444645
{'avalancheutfpr'},{'adidasbrasil'},0.1892103205629398,0.03205629397967162,0.013291634089132134,0.07024793388429752,2.1913928643418665,0.00722625242917863,1.0410772304751976,0.6705428555221511
{'aghatazanin'},{'avalancheutfpr'},0.011727912431587178,0.1892103205629398,0.0109460516028147,0.9333333333333333,4.932782369146006,0.008727009532100002,12.161845191555905,0.8067359855334538
{'avalancheutfpr'},{'aghatazanin'},0.1892103205629398,0.011727912431587178,0.0109460516028147,0.05785123966942149,4.932782369146006,0.008727009532100002,1.0489554613664733,0.983331037332966
{'avalancheutfpr'},{'aikelindao'},0.1892103205629398,0.019546520719311962,0.0109460516028147,0.05785123966942149,2.9596694214876034,0.007247648151623539,1.040656763096169,0.816641410662626
{'aikelindao'},{'avalancheutfpr'},0.019546520719311962,0.1892103205629398,0.0109460516028147,0.56,2.959669421487604,0.007247648151623539,1.8427038169024097,0.6753246753246753
{'avalancheutfpr'},{'al.prisma'},0.1892103205629398,0.0218921032056294,0.010164190774042221,0.05371900826446281,2.4538075560802834,0.006021978908708121,1.0336336725949244,0.7307321415325273
{'al.prisma'},{'avalancheutfpr'},0.0218921032056294,0.1892103205629398,0.010164190774042221,0.4642857142857143,2.4538075560802834,0.006021978908708121,1.5134740682825123,0.6057307999754044
{'avalancheutfpr'},{'alanzoka'},0.1892103205629398,0.0946051602814699,0.033620015637216574,0.17768595041322313,1.8781845502356396,0.015719742933451356,1.101032920662735,0.5766858783162522
{'alanzoka'},{'avalancheutfpr'},0.0946051602814699,0.1892103205629398,0.033620015637216574,0.35537190082644626,1.8781845502356396,0.015719742933451356,1.2577634770754393,0.5164276820500462
{'avalancheutfpr'},{'alok'},0.1892103205629398,0.0688037529319781,0.023455824863174355,0.12396694214876033,1.8017468069120963,0.01043744471498147,1.0629693008984025,0.5488267438122791
{'alok'},{'avalancheutfpr'},0.0688037529319781,0.1892103205629398,0.023455824863174355,0.34090909090909094,1.8017468069120963,0.01043744471498147,1.2301636515596774,0.4778617408340331
{'alvxaro'},{'avalancheutfpr'},0.02580140734949179,0.1892103205629398,0.010164190774042221,0.3939393939393939,2.0820185324317557,0.005282298218469888,1.3378029710711492,0.5334609211013706
{'avalancheutfpr'},{'alvxaro'},0.1892103205629398,0.02580140734949179,0.010164190774042221,0.05371900826446281,2.0820185324317557,0.005282298218469888,1.0295024428883102,0.6409761887100364
{'anaaplz'},{'avalancheutfpr'},0.0218921032056294,0.1892103205629398,0.010164190774042221,0.4642857142857143,2.4538075560802834,0.006021978908708121,1.5134740682825123,0.6057307999754044
{'avalancheutfpr'},{'anaaplz'},0.1892103205629398,0.0218921032056294,0.010164190774042221,0.05371900826446281,2.4538075560802834,0.006021978908708121,1.0336336725949244,0.7307321415325273
{'avalancheutfpr'},{'anaborcath'},0.1892103205629398,0.01563721657544957,0.014855355746677092,0.07851239669421488,5.020867768595042,0.011896632985724163,1.0682322582454762,0.9877176064558697
{'anaborcath'},{'avalancheutfpr'},0.01563721657544957,0.1892103205629398,0.014855355746677092,0.9500000000000001,5.020867768595042,0.011896632985724163,16.215793588741224,0.8135529451109903
{'anacastelacantora'},{'avalancheutfpr'},0.0688037529319781,0.1892103205629398,0.018764659890539485,0.27272727272727276,1.4413974455296772,0.005746279742346601,1.1148358092259576,0.32885530366638693
{'avalancheutfpr'},{'anacastelacantora'},0.1892103205629398,0.0688037529319781,0.018764659890539485,0.09917355371900827,1.4413974455296772,0.005746279742346601,1.0337132650938592,0.3776920604307299
{'avalancheutfpr'},{'anamarch_'},0.1892103205629398,0.013291634089132134,0.0109460516028147,0.05785123966942149,4.352455031599417,0.00843113725600471,1.0472957217124124,0.9499931119988981
{'anamarch_'},{'avalancheutfpr'},0.013291634089132134,0.1892103205629398,0.0109460516028147,0.823529411764706,4.352455031599417,0.00843113725600471,4.594474850143342,0.7806203305410913
{'avalancheutfpr'},{'ananda'},0.1892103205629398,0.03752931978107897,0.01563721657544957,0.08264462809917356,2.202134986225895,0.00853628194916254,1.0491797505089138,0.6732883317261331
{'ananda'},{'avalancheutfpr'},0.03752931978107897,0.1892103205629398,0.01563721657544957,0.41666666666666663,2.202134986225895,0.00853628194916254,1.3899251647492459,0.5671811535337125
{'avalancheutfpr'},{'anasalazar01'},0.1892103205629398,0.028146989835809225,0.02501954652071931,0.1322314049586777,4.697887970615244,0.01969384555100404,1.1199448974273056,0.9708293153326905
{'anasalazar01'},{'avalancheutfpr'},0.028146989835809225,0.1892103205629398,0.02501954652071931,0.888888888888889,4.697887970615244,0.01969384555100404,7.297107114933546,0.8099356395816573
{'andre_ossowsky'},{'avalancheutfpr'},0.013291634089132134,0.1892103205629398,0.010164190774042221,0.7647058823529412,4.041565386485173,0.007649276427232232,3.4458561376075063,0.7627087650859442
{'avalancheutfpr'},{'andre_ossowsky'},0.1892103205629398,0.013291634089132134,0.010164190774042221,0.05371900826446281,4.041565386485173,0.007649276427232232,1.042722377949476,0.9281952377420074
{'avalancheutfpr'},{'andreygruber'},0.1892103205629398,0.020328381548084442,0.01641907740422205,0.08677685950413223,4.268753973299428,0.012572737814983241,1.0727625867211021,0.9444367911098865
{'andreygruber'},{'avalancheutfpr'},0.020328381548084442,0.1892103205629398,0.01641907740422205,0.8076923076923077,4.268753973299428,0.012572737814983241,4.216106333072713,0.7816288526583818
{'angulodevista'},{'avalancheutfpr'},0.04847537138389367,0.1892103205629398,0.01563721657544957,0.32258064516129026,1.704878699013596,0.0064651760164954886,1.1968800029785172,0.4345110928512735
{'avalancheutfpr'},{'angulodevista'},0.1892103205629398,0.04847537138389367,0.01563721657544957,0.08264462809917356,1.7048786990135962,0.0064651760164954886,1.0372475681310709,0.5099324975891996
{'anitta'},{'avalancheutfpr'},0.11884284597341674,0.1892103205629398,0.03205629397967162,0.26973684210526316,1.4255926489778166,0.009570000996429361,1.1102705520219203,0.3388014802951934
{'avalancheutfpr'},{'anitta'},0.1892103205629398,0.11884284597341674,0.03205629397967162,0.1694214876033058,1.4255926489778166,0.009570000996429361,1.0608956779822545,0.36820565891290546
