antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'dceestadualutfpr'},{'_spottedutfpr_'},0.04691164972634871,0.23143080531665364,0.02111024237685692,0.44999999999999996,1.9444256756756755,0.010253441501955262,1.3973985357879024,0.509616261051864
{'_spottedutfpr_'},{'dceestadualutfpr'},0.23143080531665364,0.04691164972634871,0.02111024237685692,0.09121621621621621,1.9444256756756757,0.010253441501955262,1.0487514932379212,0.6319656380694021
{'dceestadualutfpr'},{'aaa.maleficoz'},0.04691164972634871,0.0727130570758405,0.01641907740422205,0.35000000000000003,4.813440860215055,0.013007987940148218,1.4265952968063993,0.831243407945623
{'aaa.maleficoz'},{'dceestadualutfpr'},0.0727130570758405,0.04691164972634871,0.01641907740422205,0.22580645161290325,4.813440860215054,0.013007987940148218,1.2310724524367995,0.8543724403758132
{'dceestadualutfpr'},{'aaadec'},0.04691164972634871,0.1235340109460516,0.017982799061767005,0.3833333333333333,3.1030590717299575,0.012187614810974905,1.421296198465862,0.7110960516460392
{'aaadec'},{'dceestadualutfpr'},0.1235340109460516,0.04691164972634871,0.017982799061767005,0.14556962025316456,3.103059071729958,0.012187614810974905,1.1154663655054584,0.7732614513439089
{'dceestadualutfpr'},{'admetralhas'},0.04691164972634871,0.0437842064112588,0.010164190774042221,0.21666666666666667,4.948511904761904,0.008110201419331097,1.22070101309201,0.8371931595885657
{'admetralhas'},{'dceestadualutfpr'},0.0437842064112588,0.04691164972634871,0.010164190774042221,0.23214285714285715,4.948511904761905,0.008110201419331097,1.2412313398912669,0.8344549971696332
{'dceestadualutfpr'},{'avalancheutfpr'},0.04691164972634871,0.1892103205629398,0.018764659890539485,0.4,2.1140495867768596,0.009888491607680698,1.3513161323951004,0.5529122231337161
{'avalancheutfpr'},{'dceestadualutfpr'},0.1892103205629398,0.04691164972634871,0.018764659890539485,0.09917355371900827,2.1140495867768596,0.009888491607680698,1.0580155081019431,0.6499517839922855
{'dceestadualutfpr'},{'bar_do_didi_crush'},0.04691164972634871,0.03831118060985145,0.0109460516028147,0.23333333333333334,6.09047619047619,0.009148810917442466,1.254376720943672,0.8769483182936835
{'bar_do_didi_crush'},{'dceestadualutfpr'},0.03831118060985145,0.04691164972634871,0.0109460516028147,0.2857142857142857,6.09047619047619,0.009148810917442466,1.3343236903831117,0.8691056910569107
{'dceestadualutfpr'},{'bateriamaleficoz'},0.04691164972634871,0.029710711493354185,0.011727912431587178,0.25,8.414473684210526,0.010334133940890344,1.2937190513421946,0.9245283018867926
{'bateriamaleficoz'},{'dceestadualutfpr'},0.029710711493354185,0.04691164972634871,0.011727912431587178,0.39473684210526316,8.414473684210526,0.010334133940890344,1.5746677091477717,0.9081385979049154
{'dceestadualutfpr'},{'beyonce'},0.04691164972634871,0.07427677873338545,0.0109460516028147,0.23333333333333334,3.1414035087719303,0.007461605376072614,1.2074650712173234,0.7152232509082387
{'beyonce'},{'dceestadualutfpr'},0.07427677873338545,0.04691164972634871,0.0109460516028147,0.1473684210526316,3.1414035087719303,0.007461605376072614,1.1178196700740355,0.7363658301158302
{'dceestadualutfpr'},{'cac.utfpr'},0.04691164972634871,0.0906958561376075,0.023455824863174355,0.5,5.512931034482759,0.0192011326284156,1.818608287724785,0.8589007383100904
{'cac.utfpr'},{'dceestadualutfpr'},0.0906958561376075,0.04691164972634871,0.023455824863174355,0.25862068965517243,5.512931034482759,0.0192011326284156,1.2855610306016692,0.9002579535683577
{'dceestadualutfpr'},{'cadut_utfpr'},0.04691164972634871,0.06958561376075059,0.013291634089132134,0.2833333333333333,4.071722846441947,0.010027258150394812,1.2982526319617433,0.7915359745210636
{'cadut_utfpr'},{'dceestadualutfpr'},0.06958561376075059,0.04691164972634871,0.013291634089132134,0.19101123595505615,4.071722846441947,0.010027258150394812,1.178123099643819,0.8108255066732575
{'dceestadualutfpr'},{'cafezineos'},0.04691164972634871,0.04847537138389367,0.010164190774042221,0.21666666666666667,4.469623655913979,0.007890131131326333,1.2147122918503486,0.8144759260427842
{'cafezineos'},{'dceestadualutfpr'},0.04847537138389367,0.04691164972634871,0.010164190774042221,0.20967741935483872,4.469623655913979,0.007890131131326333,1.2059485248360486,0.8158144238670122
{'dceestadualutfpr'},{'cervejadaavalanche'},0.04691164972634871,0.10242376856919469,0.014073494917904612,0.3,2.929007633587786,0.009268626963133946,1.282251759186865,0.6910035548263603
{'cervejadaavalanche'},{'dceestadualutfpr'},0.10242376856919469,0.04691164972634871,0.014073494917904612,0.13740458015267173,2.9290076335877857,0.009268626963133946,1.1049077335030824,0.7337398373983739
{'dceestadualutfpr'},{'conexao.assae'},0.04691164972634871,0.024237685691946835,0.013291634089132134,0.2833333333333333,11.689784946236559,0.012154604267774191,1.3615288106623997,0.9594653283790957
{'conexao.assae'},{'dceestadualutfpr'},0.024237685691946835,0.04691164972634871,0.013291634089132134,0.5483870967741935,11.689784946236559,0.012154604267774191,2.110409918463085,0.9371700603318251
{'dceestadualutfpr'},{'conexaoutfpr'},0.04691164972634871,0.04143862392494136,0.011727912431587178,0.25,6.033018867924528,0.009783958220878436,1.2780818347667449,0.875307629204266
