antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'curitiba_pmc'},{'dieem.ct'},0.31430805316653637,0.058639562157935886,0.023455824863174355,0.07462686567164178,1.272636815920398,0.005024938242775428,1.0172766021841662,0.31242873432155066
{'dieem.ct'},{'curitiba_pmc'},0.058639562157935886,0.31430805316653637,0.023455824863174355,0.4,1.272636815920398,0.005024938242775428,1.1428199113891062,0.22757475083056475
{'dalem.curitiba'},{'dieem.ct'},0.03049257232212666,0.058639562157935886,0.010164190774042221,0.33333333333333337,5.684444444444445,0.008376119684003518,1.4120406567630963,0.85
{'dieem.ct'},{'dalem.curitiba'},0.058639562157935886,0.03049257232212666,0.010164190774042221,0.17333333333333334,5.684444444444445,0.008376119684003518,1.1727912431587177,0.8754152823920265
{'dieem.ct'},{'dicasemcuritiba'},0.058639562157935886,0.10633307271305707,0.011727912431587178,0.2,1.8808823529411767,0.005492587604785551,1.1170836591086786,0.49750830564784054
{'dicasemcuritiba'},{'dieem.ct'},0.10633307271305707,0.058639562157935886,0.011727912431587178,0.11029411764705883,1.8808823529411767,0.005492587604785551,1.058058012781163,0.5240594925634295
{'dieem.ct'},{'edutfpr'},0.058639562157935886,0.035183737294761534,0.0109460516028147,0.18666666666666668,5.305481481481482,0.008882892652770043,1.186249503326113,0.8620669197911722
{'edutfpr'},{'dieem.ct'},0.035183737294761534,0.058639562157935886,0.0109460516028147,0.3111111111111111,5.305481481481482,0.008882892652770043,1.366490958157835,0.8411090530215327
{'dieem.ct'},{'graduacao_utfpr_curitiba'},0.058639562157935886,0.13604378420641125,0.026583268178264268,0.4533333333333333,3.3322605363984676,0.0186057202380916,1.5804077118175404,0.7435020519835842
{'graduacao_utfpr_curitiba'},{'dieem.ct'},0.13604378420641125,0.058639562157935886,0.026583268178264268,0.19540229885057472,3.3322605363984676,0.0186057202380916,1.1699765441751369,0.8101144530210275
{'dieem.ct'},{'greengodictionary'},0.058639562157935886,0.07427677873338545,0.010164190774042221,0.17333333333333334,2.3336140350877197,0.005808632990614615,1.1198264773386466,0.607078967544084
{'greengodictionary'},{'dieem.ct'},0.07427677873338545,0.058639562157935886,0.010164190774042221,0.1368421052631579,2.3336140350877197,0.005808632990614615,1.0906005072560498,0.6173336798336799
{'dieem.ct'},{'nasa'},0.058639562157935886,0.1563721657544957,0.012509773260359656,0.21333333333333335,1.3642666666666667,0.003340177926827852,1.0724082638714039,0.28363787375415284
{'nasa'},{'dieem.ct'},0.1563721657544957,0.058639562157935886,0.012509773260359656,0.08,1.3642666666666667,0.003340177926827852,1.0232178672196348,0.3164967562557924
{'netflixbrasil'},{'dieem.ct'},0.2799061767005473,0.058639562157935886,0.01641907740422205,0.05865921787709497,1.0003351955307263,5.501757200120083e-06,1.000020880556258,0.00046533271288980074
{'dieem.ct'},{'netflixbrasil'},0.058639562157935886,0.2799061767005473,0.01641907740422205,0.28,1.0003351955307265,5.501757200120083e-06,1.0001303101381287,0.00035595633602284593
{'dieem.ct'},{'oquefazercuritiba'},0.058639562157935886,0.2071931196247068,0.0109460516028147,0.18666666666666668,0.900930817610063,-0.0012036622141149405,0.9747625578384752,-0.10459495351925623
{'oquefazercuritiba'},{'dieem.ct'},0.2071931196247068,0.058639562157935886,0.0109460516028147,0.052830188679245285,0.900930817610063,-0.0012036622141149405,0.9938665977217012,-0.12180637179090618
{'rolezandocuritiba'},{'dieem.ct'},0.11962470680218922,0.058639562157935886,0.010164190774042221,0.08496732026143791,1.448976034858388,0.003149450343890391,1.0287724784988272,0.3519606503620713
{'dieem.ct'},{'rolezandocuritiba'},0.058639562157935886,0.11962470680218922,0.010164190774042221,0.17333333333333334,1.4489760348583878,0.003149450343890391,1.0649701127392872,0.32915921288014316
{'dieem.ct'},{'soldadoferido'},0.058639562157935886,0.05785770132916341,0.010164190774042221,0.17333333333333334,2.995855855855856,0.006771440500635453,1.1396882645211732,0.7077050856120624
{'soldadoferido'},{'dieem.ct'},0.05785770132916341,0.058639562157935886,0.010164190774042221,0.17567567567567569,2.995855855855856,0.006771440500635453,1.1419782360707007,0.7071177784870732
{'dieem.ct'},{'spottedutfprcwb'},0.058639562157935886,0.04847537138389367,0.0109460516028147,0.18666666666666668,3.850752688172043,0.00810347704941984,1.1699073302657044,0.7864261983863312
{'spottedutfprcwb'},{'dieem.ct'},0.04847537138389367,0.058639562157935886,0.0109460516028147,0.22580645161290322,3.850752688172043,0.00810347704941984,1.2159238988793328,0.7780255898579646
{'dieem.ct'},{'tatawerneck'},0.058639562157935886,0.18060985144644254,0.0109460516028147,0.18666666666666668,1.0335353535353535,0.00035516899258546467,1.007446903959292,0.03446843853820592
{'tatawerneck'},{'dieem.ct'},0.18060985144644254,0.058639562157935886,0.0109460516028147,0.06060606060606061,1.0335353535353535,0.00035516899258546467,1.0020933693157457,0.03959923664122131
