antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'_spottedutfpr_'},{'eas.utfprct'},0.23143080531665364,0.03596559812353401,0.010164190774042221,0.04391891891891892,1.2211368977673327,0.0018406434366176182,1.0083186676870457,0.23562094060568128
{'eas.utfprct'},{'_spottedutfpr_'},0.03596559812353401,0.23143080531665364,0.010164190774042221,0.28260869565217395,1.2211368977673327,0.0018406434366176182,1.071338877437392,0.18784702726308572
{'eas.utfprct'},{'abelhas.utfpr'},0.03596559812353401,0.022673964034401875,0.010164190774042221,0.28260869565217395,12.4640179910045,0.009348708095713459,1.3623332622550761,0.9540832241562168
{'abelhas.utfpr'},{'eas.utfprct'},0.022673964034401875,0.03596559812353401,0.010164190774042221,0.4482758620689656,12.4640179910045,0.009348708095713459,1.7473123534010946,0.9411076923076923
{'apeam_pr'},{'eas.utfprct'},0.014073494917904612,0.03596559812353401,0.010164190774042221,0.7222222222222223,20.08091787439614,0.009658029111631265,3.470523846755279,0.9637650216555846
{'eas.utfprct'},{'apeam_pr'},0.03596559812353401,0.014073494917904612,0.010164190774042221,0.28260869565217395,20.08091787439614,0.009658029111631265,1.374321794962921,0.9856510075488177
{'avalancheutfpr'},{'eas.utfprct'},0.1892103205629398,0.03596559812353401,0.011727912431587178,0.06198347107438017,1.723409989220266,0.004922850081395441,1.027737115656849,0.5177113468338155
{'eas.utfprct'},{'avalancheutfpr'},0.03596559812353401,0.1892103205629398,0.011727912431587178,0.32608695652173914,1.723409989220266,0.004922850081395441,1.2031072662614442,0.43541497702081644
{'biotiba'},{'eas.utfprct'},0.023455824863174355,0.03596559812353401,0.013291634089132134,0.5666666666666667,15.755797101449275,0.012448031318447208,2.224694773561075,0.9590260443649037
{'eas.utfprct'},{'biotiba'},0.03596559812353401,0.023455824863174355,0.013291634089132134,0.3695652173913043,15.755797101449275,0.012448031318447208,1.5490011053894475,0.9714708267735318
{'caabs_utfpr'},{'eas.utfprct'},0.03440187646598905,0.03596559812353401,0.02111024237685692,0.6136363636363636,17.061758893280633,0.019872958313185692,2.495147863680265,0.9749287749287748
{'eas.utfprct'},{'caabs_utfpr'},0.03596559812353401,0.03440187646598905,0.02111024237685692,0.5869565217391304,17.061758893280633,0.019872958313185692,2.3377638780297105,0.9765101679132497
{'curitiba_pmc'},{'eas.utfprct'},0.31430805316653637,0.03596559812353401,0.013291634089132134,0.04228855721393034,1.175805753839498,0.001987356961954125,1.0066021546865955,0.21805620765980263
{'eas.utfprct'},{'curitiba_pmc'},0.03596559812353401,0.31430805316653637,0.013291634089132134,0.3695652173913043,1.175805753839498,0.001987356961954125,1.0876492949772183,0.1550975621392108
{'eas.utfprct'},{'dceutfpr.curitiba'},0.03596559812353401,0.14308053166536355,0.014855355746677092,0.41304347826086957,2.8867902114516517,0.009709378845499043,1.4599368719775287,0.6779784009903104
{'dceutfpr.curitiba'},{'eas.utfprct'},0.14308053166536355,0.03596559812353401,0.014855355746677092,0.10382513661202188,2.8867902114516517,0.009709378845499043,1.0757213142889834,0.7627257011140992
{'dirppgcuritiba'},{'eas.utfprct'},0.07427677873338545,0.03596559812353401,0.013291634089132134,0.17894736842105263,4.975514874141877,0.010620225315296536,1.174144463823901,0.8631259936406996
{'eas.utfprct'},{'dirppgcuritiba'},0.03596559812353401,0.07427677873338545,0.013291634089132134,0.3695652173913043,4.975514874141877,0.010620225315296536,1.4683885578711817,0.8288249606411908
{'easfestas'},{'eas.utfprct'},0.020328381548084442,0.03596559812353401,0.010164190774042221,0.5,13.902173913043478,0.009433068372781952,1.9280688037529319,0.9473264166001597
{'eas.utfprct'},{'easfestas'},0.03596559812353401,0.020328381548084442,0.010164190774042221,0.28260869565217395,13.902173913043478,0.009433068372781952,1.3656028620844884,0.9626926196269262
{'extensaoct.utfpr'},{'eas.utfprct'},0.0985144644253323,0.03596559812353401,0.014073494917904612,0.14285714285714285,3.972049689440994,0.010530363281027924,1.1247068021892102,0.8300086730268865
{'eas.utfprct'},{'extensaoct.utfpr'},0.03596559812353401,0.0985144644253323,0.014073494917904612,0.3913043478260869,3.9720496894409933,0.010530363281027924,1.4810119513012396,0.7761557177615572
{'graduacao_utfpr_curitiba'},{'eas.utfprct'},0.13604378420641125,0.03596559812353401,0.0109460516028147,0.08045977011494254,2.2371314342828588,0.006053155532842129,1.0483874120406567,0.6400775694893344
{'eas.utfprct'},{'graduacao_utfpr_curitiba'},0.03596559812353401,0.13604378420641125,0.0109460516028147,0.30434782608695654,2.2371314342828588,0.006053155532842129,1.2419370602032838,0.5736299385934424
{'meninasnascienciasutfpr'},{'eas.utfprct'},0.03440187646598905,0.03596559812353401,0.011727912431587178,0.34090909090909094,9.478754940711463,0.010490628367915953,1.4626728856056725,0.9263697705802969
{'eas.utfprct'},{'meninasnascienciasutfpr'},0.03596559812353401,0.03440187646598905,0.011727912431587178,0.32608695652173914,9.478754940711463,0.010490628367915953,1.4328230220182099,0.9278723979453908
{'simdaqbi'},{'eas.utfprct'},0.04534792806880375,0.03596559812353401,0.02111024237685692,0.46551724137931033,12.943403298350825,0.019479277020199394,1.803677268026936,0.9665726332392999
{'eas.utfprct'},{'simdaqbi'},0.03596559812353401,0.04534792806880375,0.02111024237685692,0.5869565217391304,12.943403298350825,0.019479277020199394,2.311262910991317,0.9571656003123966
