antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'emilias_utfpr'},{'curitiba_pmc'},0.040656763096168884,0.31430805316653637,0.02111024237685692,0.5192307692307692,1.6519804822043624,0.008331494320046994,1.4262392494136042,0.4113918319297291
{'curitiba_pmc'},{'emilias_utfpr'},0.31430805316653637,0.040656763096168884,0.02111024237685692,0.06716417910447761,1.6519804822043627,0.008331494320046994,1.028415949960907,0.5755732927910805
{'emilias_utfpr'},{'graduacao_utfpr_curitiba'},0.040656763096168884,0.13604378420641125,0.019546520719311962,0.4807692307692307,3.5339301503094607,0.014015420814125577,1.6639156748617263,0.7474164629176853
{'graduacao_utfpr_curitiba'},{'emilias_utfpr'},0.13604378420641125,0.040656763096168884,0.019546520719311962,0.14367816091954025,3.533930150309461,0.014015420814125577,1.120306867256823,0.8299366515837103
{'emilias_utfpr'},{'netflixbrasil'},0.040656763096168884,0.2799061767005473,0.012509773260359656,0.30769230769230765,1.0992694456381606,0.0011296941450911185,1.040135522543654,0.09413202933985332
{'netflixbrasil'},{'emilias_utfpr'},0.2799061767005473,0.040656763096168884,0.012509773260359656,0.0446927374301676,1.0992694456381606,0.0011296941450911185,1.0042247918467004,0.12540716612377853
{'emilias_utfpr'},{'oquefazercuritiba'},0.040656763096168884,0.2071931196247068,0.014855355746677092,0.36538461538461536,1.7634978229317853,0.006431554166939208,1.2492714478640985,0.45129326984944024
{'oquefazercuritiba'},{'emilias_utfpr'},0.2071931196247068,0.040656763096168884,0.014855355746677092,0.07169811320754718,1.7634978229317855,0.006431554166939208,1.033438852762257,0.5460915602616008
{'emilias_utfpr'},{'pedraolar'},0.040656763096168884,0.10711493354182955,0.010164190774042221,0.25,2.3339416058394162,0.005809244296970183,1.1905134219442273,0.5957620211898941
{'pedraolar'},{'emilias_utfpr'},0.10711493354182955,0.040656763096168884,0.010164190774042221,0.09489051094890512,2.3339416058394162,0.005809244296970183,1.0599195439985876,0.6401050788091068
{'emilias_utfpr'},{'tatawerneck'},0.040656763096168884,0.18060985144644254,0.010164190774042221,0.25,1.3841991341991342,0.0028211788309499518,1.09252019807141,0.2893235533822331
{'tatawerneck'},{'emilias_utfpr'},0.18060985144644254,0.040656763096168884,0.010164190774042221,0.05627705627705628,1.3841991341991342,0.0028211788309499518,1.0165517785540596,0.33874045801526714
