antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'extensaoct.utfpr'},{'_mmori._'},0.0985144644253323,0.01641907740422205,0.010164190774042221,0.10317460317460318,6.283824640967499,0.00854667415720721,1.0967362499740532,0.9327506838348121
{'_mmori._'},{'extensaoct.utfpr'},0.01641907740422205,0.0985144644253323,0.010164190774042221,0.6190476190476191,6.283824640967498,0.00854667415720721,2.366399530883503,0.854897884309649
{'extensaoct.utfpr'},{'_spottedutfpr_'},0.0985144644253323,0.23143080531665364,0.03752931978107897,0.380952380952381,1.6460746460746463,0.014730037943785492,1.241534852950021,0.43538594969644406
{'_spottedutfpr_'},{'extensaoct.utfpr'},0.23143080531665364,0.0985144644253323,0.03752931978107897,0.16216216216216217,1.646074646074646,0.014730037943785492,1.0759666069762164,0.5106815869786369
{'extensaoct.utfpr'},{'_tipsy_sailor_'},0.0985144644253323,0.019546520719311962,0.010164190774042221,0.10317460317460318,5.278412698412699,0.008238575754000542,1.0932490122952805,0.8991260257522183
{'_tipsy_sailor_'},{'extensaoct.utfpr'},0.019546520719311962,0.0985144644253323,0.010164190774042221,0.52,5.278412698412699,0.008238575754000542,1.8780948657805578,0.8267083793399582
{'extensaoct.utfpr'},{'aaa.maleficoz'},0.0985144644253323,0.0727130570758405,0.017982799061767005,0.18253968253968253,2.510411332991978,0.01081951118721196,1.1343510175577096,0.6674082733134733
{'aaa.maleficoz'},{'extensaoct.utfpr'},0.0727130570758405,0.0985144644253323,0.017982799061767005,0.24731182795698925,2.510411332991978,0.01081951118721196,1.1976879258349156,0.6488378913410074
{'extensaoct.utfpr'},{'aaadec'},0.0985144644253323,0.1235340109460516,0.03205629397967162,0.3253968253968254,2.634066706851517,0.01988640705300821,1.2992319367152645,0.6881517991242359
{'aaadec'},{'extensaoct.utfpr'},0.1235340109460516,0.0985144644253323,0.03205629397967162,0.259493670886076,2.6340667068515176,0.01988640705300821,1.2173907232546795,0.7077957398664085
{'extensaoct.utfpr'},{'abelhas.utfpr'},0.0985144644253323,0.022673964034401875,0.011727912431587178,0.11904761904761904,5.250410509031199,0.00949419900833883,1.1093971219068952,0.8980052038161318
