antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'_spottedutfpr_'},{'peteco_utfpr'},0.23143080531665364,0.02580140734949179,0.013291634089132134,0.05743243243243243,2.2259418509418505,0.007320393607936223,1.0335583635288546,0.7165938603315181
{'peteco_utfpr'},{'_spottedutfpr_'},0.02580140734949179,0.23143080531665364,0.013291634089132134,0.5151515151515151,2.225941850941851,0.007320393607936223,1.5851739640344018,0.5653384949485412
{'aaadec'},{'peteco_utfpr'},0.1235340109460516,0.02580140734949179,0.010164190774042221,0.08227848101265824,3.18891446106636,0.006976839436106566,1.0615405354398642,0.7831606395388734
{'peteco_utfpr'},{'aaadec'},0.02580140734949179,0.1235340109460516,0.010164190774042221,0.3939393939393939,3.18891446106636,0.006976839436106566,1.4461688819390148,0.7045931596493394
{'avalancheutfpr'},{'peteco_utfpr'},0.1892103205629398,0.02580140734949179,0.014855355746677092,0.07851239669421488,3.0429501627848734,0.009973463191104759,1.0572020601857532,0.8280464903821754
{'peteco_utfpr'},{'avalancheutfpr'},0.02580140734949179,0.1892103205629398,0.014855355746677092,0.5757575757575758,3.042950162784874,0.009973463191104759,1.9111471015302135,0.6891526569232068
{'cac.utfpr'},{'peteco_utfpr'},0.0906958561376075,0.02580140734949179,0.010164190774042221,0.1120689655172414,4.343521421107629,0.007824110044924905,1.0971556965772715,0.8465506977974734
{'peteco_utfpr'},{'cac.utfpr'},0.02580140734949179,0.0906958561376075,0.010164190774042221,0.3939393939393939,4.343521421107628,0.007824110044924905,1.5003518373729476,0.7901592789233238
{'peteco_utfpr'},{'caeln.utfpr'},0.02580140734949179,0.0328381548084441,0.011727912431587178,0.45454545454545453,13.841991341991342,0.010880641822768839,1.7731300495178526,0.9523274478330658
{'caeln.utfpr'},{'peteco_utfpr'},0.0328381548084441,0.02580140734949179,0.011727912431587178,0.35714285714285715,13.841991341991342,0.010880641822768839,1.5154200330119019,0.9592562651576395
