antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'_spottedutfpr_'},{'professor.schiefler'},0.23143080531665364,0.05785770132916341,0.013291634089132134,0.05743243243243243,0.9926497443389335,-9.842032324657544e-05,0.9995488186615327,-0.009542437174016195
{'professor.schiefler'},{'_spottedutfpr_'},0.05785770132916341,0.23143080531665364,0.013291634089132134,0.22972972972972971,0.9926497443389335,-9.842032324657544e-05,0.9977915860801339,-0.007798120701346568
{'aaadec'},{'professor.schiefler'},0.1235340109460516,0.05785770132916341,0.010164190774042221,0.08227848101265824,1.4220834758809444,0.0030167968647319644,1.0266102288964978,0.33863995059356355
{'professor.schiefler'},{'aaadec'},0.05785770132916341,0.1235340109460516,0.010164190774042221,0.17567567567567569,1.4220834758809444,0.0030167968647319644,1.063253822786757,0.3150335142036388
{'avalancheutfpr'},{'professor.schiefler'},0.1892103205629398,0.05785770132916341,0.017200938232994525,0.0909090909090909,1.571253071253071,0.006253664017468689,1.0363565285379202,0.44840887174541944
{'professor.schiefler'},{'avalancheutfpr'},0.05785770132916341,0.1892103205629398,0.017200938232994525,0.29729729729729726,1.571253071253071,0.006253664017468689,1.1538160822758163,0.3858921161825725
{'cac.utfpr'},{'professor.schiefler'},0.0906958561376075,0.05785770132916341,0.0109460516028147,0.1206896551724138,2.085973904939422,0.005698597846612232,1.07145594750801,0.5725340867215329
{'professor.schiefler'},{'cac.utfpr'},0.05785770132916341,0.0906958561376075,0.0109460516028147,0.1891891891891892,2.0859739049394226,0.005698597846612232,1.1214751107636176,0.5525785417901601
{'professor.schiefler'},{'cafezineos'},0.05785770132916341,0.04847537138389367,0.011727912431587178,0.20270270270270271,4.181560592850915,0.008923238872237583,1.1934376697896927,0.8075795297372061
{'cafezineos'},{'professor.schiefler'},0.04847537138389367,0.05785770132916341,0.011727912431587178,0.24193548387096772,4.181560592850915,0.008923238872237583,1.2428260110125928,0.7996165434127637
{'professor.schiefler'},{'conexaoutfpr'},0.05785770132916341,0.04143862392494136,0.013291634089132134,0.22972972972972971,5.543855175930648,0.01089409056259135,1.244448102272883,0.8699536246033683
{'conexaoutfpr'},{'professor.schiefler'},0.04143862392494136,0.05785770132916341,0.013291634089132134,0.32075471698113206,5.543855175930648,0.01089409056259135,1.3870428285987315,0.8550522982439304
{'curitiba_pmc'},{'professor.schiefler'},0.31430805316653637,0.05785770132916341,0.02501954652071931,0.07960199004975124,1.3758235847788087,0.006834405055259035,1.0236248758531792,0.3983751425313567
{'professor.schiefler'},{'curitiba_pmc'},0.05785770132916341,0.31430805316653637,0.02501954652071931,0.4324324324324324,1.3758235847788085,0.006834405055259035,1.2081239063256266,0.2899377593360995
{'professor.schiefler'},{'dasc.utfpr'},0.05785770132916341,0.04143862392494136,0.0109460516028147,0.1891891891891892,4.565527791942887,0.008548508076273918,1.182225697159239,0.8289270895080025
{'dasc.utfpr'},{'professor.schiefler'},0.04143862392494136,0.05785770132916341,0.0109460516028147,0.2641509433962264,4.565527791942886,0.008548508076273918,1.2803472263988291,0.8147285015147985
{'dceestadualutfpr'},{'professor.schiefler'},0.04691164972634871,0.05785770132916341,0.010164190774042221,0.21666666666666667,3.7448198198198197,0.0074499905553168065,1.2027348493670253,0.7690414589512211
{'professor.schiefler'},{'dceestadualutfpr'},0.05785770132916341,0.04691164972634871,0.010164190774042221,0.17567567567567569,3.74481981981982,0.0074499905553168065,1.1562055396762325,0.7779763804660071
{'professor.schiefler'},{'dceutfpr.curitiba'},0.05785770132916341,0.14308053166536355,0.0218921032056294,0.3783783783783784,2.6445133658248414,0.013613792538516887,1.3785226229731107,0.6600474214582099
{'dceutfpr.curitiba'},{'professor.schiefler'},0.14308053166536355,0.05785770132916341,0.0218921032056294,0.15300546448087432,2.6445133658248414,0.013613792538516887,1.112335746172665,0.7256908237747656
{'dieem.ct'},{'professor.schiefler'},0.058639562157935886,0.05785770132916341,0.012509773260359656,0.21333333333333335,3.6872072072072073,0.009117022986952888,1.1976385152595381,0.7741901993355481
{'professor.schiefler'},{'dieem.ct'},0.05785770132916341,0.058639562157935886,0.012509773260359656,0.2162162162162162,3.687207207207207,0.009117022986952888,1.2010460758674613,0.7735477178423237
{'dirppgcuritiba'},{'professor.schiefler'},0.07427677873338545,0.05785770132916341,0.018764659890539485,0.2526315789473685,4.36642958748222,0.014467176210890914,1.2606129348412605,0.8328406531531533
