antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'_spottedutfpr_'},{'uniappbrasil_'},0.23143080531665364,0.02580140734949179,0.01641907740422205,0.07094594594594594,2.7496928746928746,0.010447836923026137,1.048591939725638,0.8279319866298502
{'uniappbrasil_'},{'_spottedutfpr_'},0.02580140734949179,0.23143080531665364,0.01641907740422205,0.6363636363636364,2.7496928746928746,0.010447836923026137,2.1135652853792024,0.65317587709241
{'avalancheutfpr'},{'uniappbrasil_'},0.1892103205629398,0.02580140734949179,0.012509773260359656,0.06611570247933884,2.5624843476083146,0.007627880704787323,1.0431684045195708,0.7520491803278688
{'uniappbrasil_'},{'avalancheutfpr'},0.02580140734949179,0.1892103205629398,0.012509773260359656,0.4848484848484848,2.5624843476083146,0.007627880704787323,1.5738858483189992,0.6259028892455859
{'curitiba_pmc'},{'uniappbrasil_'},0.31430805316653637,0.02580140734949179,0.011727912431587178,0.03731343283582089,1.446178199909543,0.0036183223186116494,1.011958228024559,0.4499429874572405
{'uniappbrasil_'},{'curitiba_pmc'},0.02580140734949179,0.31430805316653637,0.011727912431587178,0.45454545454545453,1.446178199909543,0.0036183223186116494,1.2571019025280168,0.31669341894060987
{'uniappbrasil_'},{'dceutfpr.curitiba'},0.02580140734949179,0.14308053166536355,0.011727912431587178,0.45454545454545453,3.1768504719324393,0.008036233350307273,1.5710190252801668,0.7033707865168539
{'dceutfpr.curitiba'},{'uniappbrasil_'},0.14308053166536355,0.02580140734949179,0.011727912431587178,0.0819672131147541,3.1768504719324393,0.008036233350307273,1.0611806098514465,0.7996350364963504
{'netflixbrasil'},{'uniappbrasil_'},0.2799061767005473,0.02580140734949179,0.010164190774042221,0.036312849162011177,1.4073980023700694,0.002942217489352572,1.010907525127194,0.4019878058966007
{'uniappbrasil_'},{'netflixbrasil'},0.02580140734949179,0.2799061767005473,0.010164190774042221,0.3939393939393939,1.4073980023700694,0.002942217489352572,1.188154808444097,0.2971354488208421
